freq_GHz,a,b,D,C,p_opt1,p_opt2,sigma2_1,sigma2_2,mu
170.00,7.4515,7.4515,500,418740165.343852,1.000000,0.000000,0.000000,0.000000,1.097736
170.00,7.4610,7.4610,500,418211824.624476,1.000000,0.000000,0.000000,0.000000,1.098064
170.00,7.4705,7.4705,500,407392192.731968,0.784483,0.215517,0.000000,0.000000,0.896699
170.00,7.4800,7.4800,500,436579259.360416,0.560845,0.439155,0.000000,0.000000,0.710293
170.00,7.4895,7.4895,500,439578719.549877,0.542693,0.457307,0.000000,0.000000,0.701724
170.00,7.4990,7.4990,500,411349584.469137,0.725238,0.274762,0.000000,0.000000,0.841322
170.00,7.5085,7.5085,500,416367907.435695,1.000000,0.000000,0.000000,0.000000,1.099218
170.00,7.5180,7.5180,500,419905431.812388,1.000000,0.000000,0.000000,0.000000,1.097016
170.00,7.5275,7.5275,500,405089690.862931,0.883924,0.116076,0.000000,0.000000,0.992173
170.00,7.5370,7.5370,500,432181267.979512,0.584182,0.415818,0.000000,0.000000,0.724285
170.00,7.5465,7.5465,500,441812919.917235,0.524581,0.475419,0.000000,0.000000,0.695775
170.00,7.5561,7.5561,500,416506083.042600,0.677440,0.322560,0.000000,0.000000,0.798253
170.00,7.5656,7.5656,500,413944549.516326,1.000000,0.000000,0.000000,0.000000,1.100757
170.00,7.5751,7.5751,500,420676552.046730,1.000000,0.000000,0.000000,0.000000,1.096544
170.00,7.5846,7.5846,500,406442150.786402,0.991482,0.008518,0.000000,0.000000,1.097180
170.00,7.5941,7.5941,500,428323295.298247,0.604256,0.395744,0.000000,0.000000,0.738301
170.00,7.6036,7.6036,500,442732094.357204,0.511926,0.488074,0.000000,0.000000,0.693424
170.00,7.6131,7.6131,500,420456482.097005,0.649582,0.350418,0.000000,0.000000,0.774269
170.00,7.6226,7.6226,500,411913083.310311,1.000000,0.000000,0.000000,0.000000,1.102068
170.00,7.6321,7.6321,500,420944638.471412,1.000000,0.000000,0.000000,0.000000,1.096380
170.00,7.6416,7.6416,500,408709522.602301,1.000000,0.000000,0.000000,0.000000,1.104173
170.00,7.6512,7.6512,500,425569004.505188,0.619144,0.380856,0.000000,0.000000,0.749569
170.00,7.6607,7.6607,500,442990856.093301,0.503986,0.496014,0.000000,0.000000,0.692772
170.00,7.6702,7.6702,500,422883861.804381,0.634547,0.365453,0.000000,0.000000,0.761829
170.00,7.6797,7.6797,500,410592328.926178,1.000000,0.000000,0.000000,0.000000,1.102930
170.00,7.6892,7.6892,500,420999145.290960,1.000000,0.000000,0.000000,0.000000,1.096347
170.00,7.6987,7.6987,500,409824725.138531,1.000000,0.000000,0.000000,0.000000,1.103435
170.00,7.7082,7.7082,500,424191345.539518,0.626911,0.373089,0.000000,0.000000,0.755683
170.00,7.7177,7.7177,500,443022636.444342,0.500546,0.499454,0.000000,0.000000,0.692691
170.00,7.7272,7.7272,500,423786341.730054,0.629245,0.370755,0.000000,0.000000,0.757549
170.00,7.7367,7.7367,500,410172532.744527,1.000000,0.000000,0.000000,0.000000,1.103206
170.00,7.7462,7.7462,500,421001698.169720,1.000000,0.000000,0.000000,0.000000,1.096345
170.00,7.7558,7.7558,500,409926127.429761,1.000000,0.000000,0.000000,0.000000,1.103368
170.00,7.7653,7.7653,500,424284836.014263,0.626373,0.373627,0.000000,0.000000,0.755255
170.00,7.7748,7.7748,500,443017692.616403,0.501573,0.498427,0.000000,0.000000,0.692703
170.00,7.7843,7.7843,500,423193179.989900,0.632711,0.367289,0.000000,0.000000,0.760340
170.00,7.7938,7.7938,500,410711887.008937,1.000000,0.000000,0.000000,0.000000,1.102852
170.00,7.8033,7.8033,500,420986644.435124,1.000000,0.000000,0.000000,0.000000,1.096354
170.00,7.8128,7.8128,500,409027604.453114,1.000000,0.000000,0.000000,0.000000,1.103962
170.00,7.8223,7.8223,500,425843946.500802,0.617617,0.382383,0.000000,0.000000,0.748385
170.00,7.8318,7.8318,500,442919138.788758,0.507073,0.492927,0.000000,0.000000,0.692950
170.00,7.8413,7.8413,500,421083490.960923,0.645568,0.354432,0.000000,0.000000,0.770909
170.00,7.8509,7.8509,500,412135340.083454,1.000000,0.000000,0.000000,0.000000,1.101924
170.00,7.8604,7.8604,500,420861110.782732,1.000000,0.000000,0.000000,0.000000,1.096431
170.00,7.8699,7.8699,500,407008435.810291,1.000000,0.000000,0.000000,0.000000,1.105310
170.00,7.8794,7.8794,500,428757223.299181,0.601958,0.398042,0.000000,0.000000,0.736623
170.00,7.8889,7.8889,500,442423800.113994,0.517135,0.482865,0.000000,0.000000,0.694202
170.00,7.8984,7.8984,500,417438301.288854,0.670371,0.329629,0.000000,0.000000,0.792072
170.00,7.9079,7.9079,500,414236125.042583,1.000000,0.000000,0.000000,0.000000,1.100571
